,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
2020-06-18,4.25,5.300000190734863,4.199999809265137,5.190000057220459,5.190000057220459,2829400,AVXL,4.609742,4.800000190734863,0.0,0.5802578926086426
2020-07-02,5.059999942779541,5.059999942779541,4.875,4.949999809265137,4.949999809265137,479700,AVXL,5.626968,4.650000095367432,0.0,-0.6769680976867676
2020-07-10,4.880000114440918,4.880000114440918,4.679999828338623,4.710000038146973,4.710000038146973,535400,AVXL,5.5271177,4.315000057220459,0.0,-0.8171176910400391
2020-07-14,4.25,4.539999961853027,4.25,4.539999961853027,4.539999961853027,485800,AVXL,5.430895,4.514999866485596,0.0,-0.890894889831543
2020-07-16,4.480000019073486,4.53000020980835,4.360000133514404,4.519999980926514,4.519999980926514,337900,AVXL,5.336886,4.429999828338623,0.0,-0.8168859481811523
2020-07-21,4.5,4.670000076293945,4.389999866485596,4.539999961853027,4.539999961853027,584900,AVXL,5.2215157,4.429999828338623,0.0,-0.6815156936645508
2020-07-23,4.400000095367432,4.630000114440918,4.400000095367432,4.46999979019165,4.46999979019165,451600,AVXL,5.1794353,4.420000076293945,0.0,-0.7094354629516602
2020-07-27,4.420000076293945,4.590000152587891,4.380000114440918,4.5,4.5,419400,AVXL,5.14555,4.429999828338623,0.0,-0.6455497741699219
2020-08-04,4.389999866485596,4.880000114440918,4.360000133514404,4.800000190734863,4.800000190734863,811200,AVXL,5.082692,4.550000190734863,0.0,-0.28269195556640625
2020-08-05,4.929999828338623,4.96999979019165,4.5,4.550000190734863,4.550000190734863,1048900,AVXL,5.0995374,4.239999771118164,0.0,-0.549537181854248
2020-08-06,5.0,5.050000190734863,3.7200000286102295,4.239999771118164,4.239999771118164,3013800,AVXL,5.101735,4.199999809265137,0.0,-0.8617353439331055
2020-08-07,4.190000057220459,4.309999942779541,3.865000009536743,4.199999809265137,4.199999809265137,1067100,AVXL,5.0776877,3.9500000476837154,0.0,-0.877687931060791
2020-08-13,4.050000190734863,4.199999809265137,4.045000076293945,4.150000095367432,4.150000095367432,384600,AVXL,4.8567924,4.190000057220459,0.7067923545837402,0.0
2020-08-17,4.25,4.539999961853027,4.119999885559082,4.429999828338623,4.429999828338623,516300,AVXL,4.808267,4.300000190734863,0.0,-0.3782672882080078
2020-08-21,4.340000152587891,4.400000095367432,4.239999771118164,4.389999866485596,4.389999866485596,481200,AVXL,4.872372,4.130000114440918,0.0,-0.4823722839355469
2020-08-25,4.119999885559082,4.170000076293945,3.9600000381469727,3.9800000190734863,3.9800000190734863,536400,AVXL,4.871487,4.159999847412109,0.8914871215820312,0.0
2020-08-31,4.21999979019165,4.269999980926514,4.119999885559082,4.239999771118164,4.239999771118164,372700,AVXL,4.8112273,4.110000133514404,0.0,-0.5712275505065918
2020-09-03,4.159999847412109,4.176000118255615,3.9800000190734863,3.990000009536743,3.990000009536743,376500,AVXL,4.77593,3.805000066757202,0.0,-0.7859299182891846
2020-09-08,3.9600000381469727,4.0,3.6540000438690186,3.799999952316284,3.799999952316284,708100,AVXL,4.6997447,4.079999923706055,0.8997447490692139,0.0
2020-09-09,3.859999895095825,4.110000133514404,3.8499999046325684,4.079999923706055,4.079999923706055,588500,AVXL,4.6641364,3.880000114440918,0.0,-0.5841364860534668
2020-09-24,3.869999885559082,3.990000009536743,3.75,3.869999885559082,3.869999885559082,454600,AVXL,4.643263,3.8699998855590825,0.7732629776000977,0.0
2020-10-09,4.340000152587891,4.440000057220459,4.269999980926514,4.300000190734863,4.300000190734863,395300,AVXL,4.909319,4.420000076293945,0.609318733215332,0.0
2020-10-19,4.929999828338623,5.545000076293945,4.900000095367432,5.275000095367432,5.275000095367432,2965600,AVXL,5.1738267,5.190000057220459,0.0,0.10117340087890625
2020-10-27,5.570000171661377,5.710000038146973,5.355000019073486,5.670000076293945,5.670000076293945,870900,AVXL,5.830528,5.59499979019165,0.0,-0.16052770614624023
2020-10-28,5.5,5.800000190734863,5.420000076293945,5.59499979019165,5.59499979019165,712600,AVXL,5.9288116,5.980000019073486,0.33381175994873047,0.0
2020-11-25,4.949999809265137,5.27400016784668,4.920000076293945,5.199999809265137,5.199999809265137,548300,AVXL,5.939514,5.369999885559082,0.7395143508911133,0.0
2020-11-27,5.190000057220459,5.400000095367432,5.179999828338623,5.369999885559082,5.369999885559082,552100,AVXL,5.922488,5.329999923706055,0.0,-0.5524883270263672
2020-11-30,5.429999828338623,5.5,5.190000057220459,5.329999923706055,5.329999923706055,783200,AVXL,5.924116,5.239999771118164,0.0,-0.5941162109375
2020-12-03,5.389999866485596,5.480000019073486,4.909999847412109,4.960000038146973,4.960000038146973,1178200,AVXL,5.9511957,4.869999885559082,0.0,-0.9911956787109375
2020-12-11,5.019999980926514,5.119999885559082,4.869999885559082,5.0,5.0,637900,AVXL,5.6759834,5.190000057220459,0.6759834289550781,0.0
2020-12-21,6.050000190734863,6.610000133514404,5.920000076293945,6.489999771118164,6.489999771118164,1354000,AVXL,6.292282,6.039999961853027,0.0,0.19771766662597656
2020-12-31,5.429999828338623,5.679999828338623,5.309999942779541,5.400000095367432,5.400000095367432,965800,AVXL,6.5458007,5.289999961853027,0.0,-1.1458005905151367
2021-01-06,5.170000076293945,5.570000171661377,5.170000076293945,5.460000038146973,5.460000038146973,989700,AVXL,6.3469725,5.579999923706055,0.8869724273681641,0.0
2021-01-19,5.980000019073486,6.083000183105469,5.790999889373779,5.980000019073486,5.980000019073486,817900,AVXL,6.4073963,5.820000171661377,0.0,-0.427396297454834
2021-01-28,6.119999885559082,6.489999771118164,6.119999885559082,6.340000152587891,6.340000152587891,907900,AVXL,6.7479305,6.28000020980835,0.0,-0.4079303741455078
2021-01-29,6.380000114440918,6.690000057220459,6.122000217437744,6.28000020980835,6.28000020980835,959100,AVXL,6.8099804,6.5300002098083505,0.5299801826477051,0.0
2021-02-05,13.350000381469727,13.760000228881836,11.300000190734863,12.390000343322754,12.390000343322754,15659900,AVXL,9.354128,14.100000381469727,-3.035872459411621,0.0
2021-02-12,12.359999656677246,13.899999618530273,11.800000190734863,13.210000038146973,13.210000038146973,2289400,AVXL,13.069064,13.220000267028809,-0.14093589782714844,0.0
2021-02-22,12.789999961853027,13.479999542236328,12.583999633789062,12.890000343322754,12.890000343322754,1673400,AVXL,13.920295,12.069999694824219,0.0,-1.030294418334961
2021-03-01,13.0600004196167,13.319000244140625,12.520000457763672,12.9399995803833,12.9399995803833,1427000,AVXL,13.968929,13.920000076293945,1.0289297103881836,0.0
2021-03-10,12.352999687194824,12.819999694824219,12.25,12.489999771118164,12.489999771118164,1149100,AVXL,13.926858,13.47999954223633,1.4368581771850586,0.0
